#         ms          mr          mg          mh           d        psat        dn4k         sfr      hdelta        rexp     nsersic         con       sigv1          ka
#
    3.41e+10      -20.27      -19.49   5.214e+11           0           0       1.528      -11.51     -0.3377       6.275       1.985       2.732           0           0
    3.02e+10      -19.82      -19.03   4.685e+11           0           0       1.396      -10.41       1.418       2.721       3.683       2.904       119.4           0
   1.619e+10       -18.6      -17.69   3.031e+11           0           0       1.809      -11.34      -1.579       1.176       4.419        2.89       152.1           0
   1.991e+10      -18.71      -17.75   3.441e+11           0           0       1.619      -10.92      0.4021       3.686       1.649       2.678        88.7           0
   9.062e+09      -18.69      -17.89   2.246e+11           0           0       1.594      -10.85      -1.301       2.958       1.337       2.667       70.22           0
   1.891e+11      -21.43      -20.47   7.441e+12           0           0       1.937      -12.29      -1.963       7.701           6       3.289       249.1           0
   1.034e+10       -19.7      -19.06   2.398e+11           0           0       1.165      -9.927       3.463       3.361       2.209       2.506       77.22           0
    9.16e+09      -19.46      -19.07    2.26e+11           0           0       1.304      -9.825       1.218       10.72        1.04       2.109       25.21           0
   2.478e+10      -19.81      -19.25   4.036e+11           0           0       1.406       -10.5      0.8289       12.95      0.9565       2.175       47.94           0
   3.752e+10      -20.03      -19.37    5.73e+11           0           0        1.38      -10.09       4.587       8.004       1.304       2.504       89.97           0
    8.33e+09      -19.16      -18.83    2.15e+11           0           0       1.222       -9.78       2.814        7.22       4.928       2.383       21.87           0
   6.007e+09      -18.25       -17.4   1.845e+11           0           0       1.656      -11.26      -2.548       1.793           6       2.612       47.72           0
   3.581e+10      -19.98       -19.3   5.456e+11           0           0       1.431      -10.33       1.996       8.728       1.389       2.569        92.9           0
   6.386e+09      -18.83       -18.4   1.899e+11           0           0       1.285       -9.97       4.672       6.212      0.7461       2.089        30.8           0
   1.354e+10      -18.69      -17.99   2.744e+11           0           0        1.27      -10.71       4.424       6.508       3.103       2.031        64.3           0
   7.265e+09       -18.8      -18.26   2.014e+11           0           0        1.37      -10.11       2.997       4.923      0.9552       2.311       54.44           0
   9.712e+09      -18.27      -17.58   2.323e+11           0           0       1.349      -10.19       3.461       6.373       1.298       2.489       42.48           0
   6.659e+09      -18.95      -18.51   1.934e+11           0           0       1.277      -9.789       4.507       5.692      0.9171       2.276       27.59           0
   1.821e+10      -19.32      -18.48   3.247e+11           0           0       1.404      -10.34      -1.405       2.818       5.052       2.835       127.9           0
   3.858e+10      -19.31      -18.53   5.878e+11           0           0       1.589      -10.45       2.439       5.044       2.423       2.771       93.84           0
   8.715e+10       -20.5      -19.51   1.546e+12           0           0        1.85      -11.44      -1.595       7.626       4.239       2.501       135.9           0
   5.128e+09      -17.62      -16.75   1.725e+11           0           0       1.676      -11.19      -3.858           2       2.322        2.85        42.7           0
   2.715e+10      -19.26      -18.32   4.306e+11           0           0       1.788      -11.66      -2.001       3.752           6       2.544       88.04           0
   1.161e+11       -20.7      -19.68   2.385e+12           0           0       1.987      -11.71      -2.503       4.526           6       4.366         248           0
